abn,entity_name,entity_type,entity_status,entity_address,entity_postcode,entity_state,entity_start_date,acn,trading_names
90982502331,Toowoomba Manufacturing Corp,COOP,Cancelled,"406 Smith St, Sydney",8734,SA,2023-12-23,710808339,
83945024955,Geelong Automotive Pty Ltd,PTY,Cancelled,"293 Smith St, Perth",9474,QLD,2019-05-07,401624860,
46925591026,Bendigo Financial Services Ltd,LTD,Deregistered,"651 Smith St, Brisbane",2521,WA,2023-10-13,879149951,
92586185700,Sydney Manufacturing Co Group,IND,Deregistered,"720 Jones Ave, Brisbane",6483,NT,2000-01-24,952031306,Sydney Manufacturing Co Trading
87757125164,Townsville Marine Services Ltd,LTD,Active,"896 Taylor Ct, Brisbane",8820,NSW,2004-02-24,231059044,Townsville Marine Services Trading
22555258738,Brisbane Software Systems Group,COOP,Deregistered,"460 Smith St, Brisbane",6886,VIC,2014-03-26,758433510,
41450677843,Toowoomba Manufacturing Group,IND,Active,"259 Brown Rd, Canberra",6738,TAS,1998-04-09,225207547,Toowoomba Manufacturing Trading
49333688424,Newcastle Construction Ltd,LTD,Active,"666 Brown Rd, Perth",4805,NSW,2004-02-02,506205309,
53465854160,Cairns Agriculture Pty Ltd,LTD,Deregistered,"783 Smith St, Melbourne",4975,NT,2023-12-22,304962159,
81427703231,Toowoomba Manufacturing Pty Ltd,LTD,Cancelled,"539 Wilson Dr, Perth",2639,SA,2015-07-10,912875653,Toowoomba Manufacturing Trading
60368595308,Townsville Marine Services Corp,LTD,Cancelled,"95 Taylor Ct, Sydney",3154,ACT,1992-11-10,409491572,
39501293180,Canberra Education Services Ltd,TRUST,Deregistered,"832 Wilson Dr, Adelaide",4279,QLD,1993-01-23,563519090,
39269627521,Sydney Manufacturing Co Corp,COOP,Active,"196 Brown Rd, Brisbane",9989,QLD,2000-03-17,224608020,
57264692359,Adelaide Healthcare Ltd,LTD,Active,"982 Jones Ave, Sydney",1890,NT,1992-07-19,899763115,
34912801677,Hobart Fisheries Ltd,LTD,Active,"417 Brown Rd, Brisbane",4230,VIC,2016-01-25,205705072,
99673571968,Tech Solutions Australia Corp,PART,Cancelled,"482 Taylor Ct, Melbourne",6663,SA,2015-05-24,256789955,
40244738392,Canberra Education Services Group,PTY,Deregistered,"119 Wilson Dr, Adelaide",6421,QLD,2019-01-28,293115561,
40170867579,Ballarat Mining Group,TRUST,Cancelled,"346 Smith St, Canberra",6349,SA,1998-10-08,744553969,Ballarat Mining Trading
50743611350,Toowoomba Manufacturing Ltd,COOP,Deregistered,"23 Brown Rd, Perth",5812,QLD,2010-06-27,721639574,Toowoomba Manufacturing Trading
64680192492,Hobart Fisheries Ltd,CORP,Deregistered,"205 Smith St, Sydney",1608,QLD,2016-12-01,802177842,
11787650062,Newcastle Construction Corp,PART,Cancelled,"306 Jones Ave, Brisbane",3711,TAS,2003-02-20,230003171,Newcastle Construction Trading
43533411423,Gold Coast Tourism Corp,PART,Active,"680 Jones Ave, Canberra",4239,SA,2000-05-25,935016065,
29639134497,Sydney Manufacturing Co Corp,PART,Cancelled,"929 Wilson Dr, Adelaide",7574,NT,1997-11-23,151948518,
14209551772,Darwin Transport Co Pty Ltd,PART,Cancelled,"407 Taylor Ct, Adelaide",2397,SA,1993-11-22,676944804,Darwin Transport Co Trading
92199591397,Launceston Timber Group,LTD,Deregistered,"139 Jones Ave, Sydney",6784,WA,1995-03-11,198110029,
51697413814,Wollongong Steel Works Group,COOP,Deregistered,"949 Jones Ave, Melbourne",6291,TAS,2023-01-09,427855518,
83619392289,Toowoomba Manufacturing Group,LTD,Deregistered,"219 Smith St, Perth",7217,ACT,2002-09-28,244642010,Toowoomba Manufacturing Trading
62102364688,Newcastle Construction Ltd,COOP,Active,"741 Jones Ave, Melbourne",2750,TAS,2004-01-20,939795627,
25426780509,Cairns Agriculture Corp,PTY,Deregistered,"334 Jones Ave, Perth",4607,TAS,2002-05-16,175321599,
43753522019,Canberra Education Services Corp,TRUST,Active,"635 Wilson Dr, Perth",3732,NSW,2004-11-08,105782324,
55929843131,Tech Solutions Australia Ltd,COOP,Active,"736 Taylor Ct, Melbourne",6535,ACT,2005-11-10,596811582,
24224240216,Geelong Automotive Pty Ltd,PTY,Deregistered,"497 Jones Ave, Perth",4395,ACT,2006-08-28,643922252,
31892872077,Melbourne Consulting Group Corp,PART,Deregistered,"453 Brown Rd, Canberra",2832,TAS,2008-10-21,947151492,Melbourne Consulting Group Trading
41370319231,Canberra Education Services Group,PART,Deregistered,"652 Taylor Ct, Melbourne",9828,SA,2010-09-08,457250788,
97807857736,Townsville Marine Services Ltd,CORP,Cancelled,"295 Taylor Ct, Brisbane",8623,ACT,2023-04-11,708892605,
42335116652,Geelong Automotive Group,IND,Deregistered,"49 Wilson Dr, Melbourne",3531,QLD,2021-08-03,371029778,Geelong Automotive Trading
67868796480,Sydney Manufacturing Co Group,PART,Cancelled,"939 Taylor Ct, Brisbane",8417,NSW,1993-11-04,460163256,
10764621670,Tech Solutions Australia Pty Ltd,CORP,Deregistered,"763 Brown Rd, Sydney",3892,NT,2014-07-09,428986574,
42531196199,Newcastle Construction Ltd,PART,Cancelled,"567 Smith St, Melbourne",6567,QLD,2006-05-02,546514345,
94688110529,Ballarat Mining Pty Ltd,CORP,Cancelled,"74 Taylor Ct, Perth",2672,QLD,2022-08-08,634196779,
95385796510,Melbourne Consulting Group Corp,LTD,Active,"922 Jones Ave, Adelaide",3290,NT,2012-07-01,447297541,
71246188108,Newcastle Construction Ltd,IND,Deregistered,"907 Taylor Ct, Canberra",6534,TAS,1998-02-04,966430499,
35562415879,Adelaide Healthcare Corp,IND,Deregistered,"891 Smith St, Perth",9652,VIC,1992-07-19,839263394,
74931552667,Gold Coast Tourism Ltd,COOP,Cancelled,"728 Wilson Dr, Brisbane",6771,NT,2006-03-12,400844038,
73432611120,Darwin Transport Co Pty Ltd,PART,Deregistered,"505 Taylor Ct, Brisbane",4981,NT,2006-08-17,289334963,Darwin Transport Co Trading
44823950184,Darwin Transport Co Group,LTD,Active,"181 Smith St, Melbourne",6366,NSW,1996-02-04,690867390,
30183052253,Gold Coast Tourism Ltd,CORP,Active,"812 Brown Rd, Perth",5326,WA,2022-06-20,215319187,
21329030511,Perth Mining Services Group,COOP,Cancelled,"8 Smith St, Melbourne",2148,WA,2011-09-02,458602800,
89447500327,Canberra Education Services Corp,IND,Cancelled,"378 Brown Rd, Perth",3959,NT,2003-02-06,216495735,
74761038048,Tech Solutions Australia Group,IND,Cancelled,"148 Smith St, Perth",3822,TAS,2009-07-20,351015524,Tech Solutions Australia Trading
75429787960,Rockhampton Resources Corp,PART,Deregistered,"982 Jones Ave, Adelaide",4425,SA,2004-09-07,304135150,
82659575006,Bendigo Financial Services Group,PTY,Cancelled,"681 Wilson Dr, Melbourne",9066,WA,2004-10-26,843949855,
28457712802,Ballarat Mining Pty Ltd,PART,Active,"359 Taylor Ct, Sydney",3622,ACT,2004-03-21,207371278,
41964861580,Rockhampton Resources Corp,LTD,Active,"191 Taylor Ct, Brisbane",7563,VIC,2000-08-07,835084310,Rockhampton Resources Trading
29675714468,Melbourne Consulting Group Ltd,IND,Cancelled,"777 Brown Rd, Adelaide",3123,NSW,2004-06-11,662640559,Melbourne Consulting Group Trading
70586884862,Adelaide Healthcare Pty Ltd,COOP,Cancelled,"673 Wilson Dr, Canberra",8745,WA,2007-05-26,511089143,Adelaide Healthcare Trading
85657798176,Hobart Fisheries Corp,PTY,Deregistered,"802 Jones Ave, Canberra",2169,WA,2002-05-15,671204967,Hobart Fisheries Trading
85967527564,Geelong Automotive Corp,COOP,Deregistered,"12 Jones Ave, Perth",2466,ACT,1997-09-27,110669863,
79731972159,Canberra Education Services Corp,COOP,Deregistered,"182 Wilson Dr, Melbourne",5475,NT,2017-10-09,981219371,
48747671354,Geelong Automotive Group,CORP,Active,"318 Brown Rd, Sydney",6305,TAS,1997-07-27,349031416,
37374063430,Rockhampton Resources Ltd,LTD,Active,"513 Smith St, Perth",8362,WA,1991-06-08,339085229,
72459983556,Cairns Agriculture Pty Ltd,COOP,Active,"525 Taylor Ct, Sydney",2528,NT,2012-08-27,843549683,
61245030022,Gold Coast Tourism Group,COOP,Deregistered,"39 Brown Rd, Canberra",1502,ACT,1999-04-22,985456938,
11785951602,Hobart Fisheries Ltd,CORP,Active,"379 Smith St, Melbourne",6934,VIC,2021-05-26,762323479,
19988102564,Sydney Manufacturing Co Group,PART,Deregistered,"518 Jones Ave, Brisbane",3764,ACT,1992-04-12,447621810,
81981953239,Toowoomba Manufacturing Corp,IND,Active,"855 Wilson Dr, Perth",5310,WA,1996-02-17,416218733,Toowoomba Manufacturing Trading
25125267019,Adelaide Healthcare Ltd,PTY,Cancelled,"484 Taylor Ct, Canberra",4576,NSW,2017-09-19,398222925,Adelaide Healthcare Trading
70867605967,Gold Coast Tourism Group,PTY,Cancelled,"861 Taylor Ct, Melbourne",3737,QLD,2004-10-05,672027070,Gold Coast Tourism Trading
87224108196,Launceston Timber Group,COOP,Cancelled,"551 Jones Ave, Adelaide",4356,NSW,2005-06-17,601965183,
95406381772,Hobart Fisheries Ltd,PTY,Active,"866 Taylor Ct, Adelaide",9268,WA,2005-06-17,435384239,Hobart Fisheries Trading
66384390753,Cairns Agriculture Pty Ltd,PTY,Cancelled,"415 Taylor Ct, Brisbane",1384,SA,2006-02-09,263144842,
39924670976,Brisbane Software Systems Group,PTY,Cancelled,"848 Wilson Dr, Adelaide",2113,QLD,2004-02-22,949058956,Brisbane Software Systems Trading
49379312258,Bendigo Financial Services Pty Ltd,LTD,Active,"636 Brown Rd, Brisbane",9715,NSW,2013-07-25,164079359,Bendigo Financial Services Trading
41726720885,Brisbane Software Systems Pty Ltd,TRUST,Deregistered,"280 Taylor Ct, Brisbane",9973,VIC,2012-07-25,400539926,Brisbane Software Systems Trading
27397000789,Perth Mining Services Group,PART,Active,"777 Brown Rd, Canberra",6182,NSW,2012-10-07,707082657,
66504466072,Townsville Marine Services Group,CORP,Deregistered,"799 Jones Ave, Canberra",2372,NSW,1996-02-03,504045895,Townsville Marine Services Trading
21636048291,Canberra Education Services Pty Ltd,IND,Deregistered,"658 Jones Ave, Melbourne",7677,NT,2011-02-23,163013536,
29625349150,Darwin Transport Co Group,PART,Cancelled,"686 Wilson Dr, Sydney",2734,SA,2019-08-23,200842270,
60206611136,Brisbane Software Systems Group,COOP,Deregistered,"248 Smith St, Perth",4457,ACT,2003-08-23,734891511,
57814615554,Adelaide Healthcare Ltd,TRUST,Active,"955 Taylor Ct, Adelaide",1730,NT,1992-03-05,618657302,
80313758630,Bendigo Financial Services Corp,CORP,Deregistered,"689 Brown Rd, Melbourne",7591,NT,2010-09-03,988356092,
69128320013,Adelaide Healthcare Corp,TRUST,Active,"727 Jones Ave, Adelaide",9049,TAS,2015-03-14,367622720,
